,Suburb,Latitude,Longitude
363,LONG POINT,-34.0156584,150.8983181
364,LONGUEVILLE,50.7318957,1.8791461
365,LOVETT BAY,-33.6325997,151.2763618
366,LOWER PORTLAND,-33.4316667,150.8844444
367,LUCAS HEIGHTS,-34.0516667,150.9847222
368,LUDDENHAM,-33.8779831,150.6901151
369,LUGARNO,-33.9823958,151.0450193
370,LURNEA,-33.9358333,150.8972222
371,MACQUARIE FIELDS,-33.9904477,150.8849303
372,MACQUARIE LINKS,-33.9816667,150.8733333
373,MACQUARIE PARK,-33.7814961,151.1256747
374,MADDENS PLAINS,-34.2583333,150.9463889
375,MAIANBAR,-34.0783413,151.1303571
376,MALABAR,27.9869722,-80.5870164
377,MANLY,-33.8038504,151.2908235
378,MANLY VALE,-33.7830838,151.2659938
379,MARAYLYA,-33.5913984,150.9221281
380,MARAYONG,-33.7491667,150.8919444
381,MAROOTA,-33.4577956,150.9829191
382,MAROUBRA,-33.9453441,151.2456824
383,MARRICKVILLE,-33.9103854,151.1556908
384,MARSDEN PARK,-33.6956552,150.8147975
385,MARSFIELD,-33.7777956,151.1032015
386,MASCOT,-33.9289562,151.1951782
387,MATRAVILLE,-33.9639325,151.2334198
388,MAYS HILL,-33.8205758,150.9884915
389,MCCARRS CREEK,-33.6432304,151.2775346
390,MCGRATHS HILL,-33.615,150.8344444
391,MCMAHONS POINT,-33.8443387,151.2027957
392,MEADOWBANK,55.9550347,-3.1566932
393,MELROSE PARK,-33.8153435,151.0733298
394,MENAI,-34.014811,151.0164823
395,MENANGLE PARK,-34.1034092,150.7468493
396,MERRYLANDS,-33.8368127,150.9923283
397,MERRYLANDS WEST,-33.8359501,150.9681261
398,MIDDLE COVE,-33.7927992,151.2112471
399,MIDDLE DURAL,-33.6367412,151.0127369
400,MIDDLETON GRANGE,-33.9147154,150.8423882
401,MILLER,-33.9205556,150.8805556
402,MILLERS POINT,-33.8599129,151.2041274
403,MILPERRA,-33.9388237,150.9846424
404,MILSONS PASSAGE,-33.5157613,151.1768241
405,MILSONS POINT,-33.8471255,151.2115234
406,MINCHINBURY,-33.7866731,150.8272222
407,MINTO,-34.0316667,150.8511111
408,MINTO HEIGHTS,-34.0379407,150.8715274
409,MIRANDA,-34.0335434,151.1037193
410,MONA VALE,-33.6788121,151.3028529
411,MONTEREY,-33.9720137,151.1480392
412,MOORE PARK,-33.97566725,151.12991058775168
413,MOOREBANK,-33.9332633,150.949686
414,MORNING BAY,-33.628361,151.2879035
415,MORTDALE,-33.9672997,151.0721865
416,MORTLAKE,51.4698873,-0.2685226
